avatar_url	first_name	followers_count	full_name	id	kind	last_modified	last_name	permalink	permalink_url	uri	urn	username	verified	city	country_code	station_urn	station_permalink	badges.pro	badges.pro_unlimited	badges.verified
https://i1.sndcdn.com/avatars-000117616688-y3go9k-large.jpg		1962		125881919	user	2017-11-25T03:17:17Z		best-indie-playlists	https://soundcloud.com/best-indie-playlists	https://api.soundcloud.com/users/125881919	soundcloud:users:125881919	Best Indie Playlists	False			soundcloud:system-playlists:artist-stations:125881919	artist-stations:125881919	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png		5		754507123	user	2019-12-25T07:31:44Z		user-942687271	https://soundcloud.com/user-942687271	https://api.soundcloud.com/users/754507123	soundcloud:users:754507123	Castleford tunes	False			soundcloud:system-playlists:artist-stations:754507123	artist-stations:754507123	False	False	False
https://i1.sndcdn.com/avatars-000109807217-hh0vtu-large.jpg		59215		113667782	user	2014-10-22T05:49:19Z		clockwork-indigo-fbz-ua	https://soundcloud.com/clockwork-indigo-fbz-ua	https://api.soundcloud.com/users/113667782	soundcloud:users:113667782	Clockwork Indigo (FBZ+UA)	False			soundcloud:system-playlists:artist-stations:113667782	artist-stations:113667782	False	False	False
https://i1.sndcdn.com/avatars-44l7dBKtRybjXQgn-y6mifg-large.jpg	Bobby	3613	Bobby Blakdout	3742285	user	2021-12-21T20:24:00Z	Blakdout	bobbyblakdout	https://soundcloud.com/bobbyblakdout	https://api.soundcloud.com/users/3742285	soundcloud:users:3742285	Bobby Blakdout	True	Florida	US	soundcloud:system-playlists:artist-stations:3742285	artist-stations:3742285	False	False	True
https://i1.sndcdn.com/avatars-Eur3QH9wnqutLM04-VydmeQ-large.jpg	Followers of Christ	111	Followers of Christ	816976168	user	2021-12-19T03:42:02Z		christianmusicreleases	https://soundcloud.com/christianmusicreleases	https://api.soundcloud.com/users/816976168	soundcloud:users:816976168	Christian Music Releases	False	Kingdom of God		soundcloud:system-playlists:artist-stations:816976168	artist-stations:816976168	False	False	False
https://i1.sndcdn.com/avatars-000086036689-iqdbqd-large.jpg		41649		35386952	user	2018-08-02T18:05:02Z		janellasalvador	https://soundcloud.com/janellasalvador	https://api.soundcloud.com/users/35386952	soundcloud:users:35386952	JanellaSalvador	False			soundcloud:system-playlists:artist-stations:35386952	artist-stations:35386952	False	False	False
https://i1.sndcdn.com/avatars-000497204319-atap2z-large.jpg		23		150556042	user	2018-08-30T17:45:43Z		ordan862433604	https://soundcloud.com/ordan862433604	https://api.soundcloud.com/users/150556042	soundcloud:users:150556042	Jordan88	False			soundcloud:system-playlists:artist-stations:150556042	artist-stations:150556042	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png		534		682251896	user	2019-08-11T04:21:54Z		user-554653250	https://soundcloud.com/user-554653250	https://api.soundcloud.com/users/682251896	soundcloud:users:682251896	music	False			soundcloud:system-playlists:artist-stations:682251896	artist-stations:682251896	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png		8		251790739	user	2016-09-02T23:15:39Z		user-134370181	https://soundcloud.com/user-134370181	https://api.soundcloud.com/users/251790739	soundcloud:users:251790739	User 134370181	False			soundcloud:system-playlists:artist-stations:251790739	artist-stations:251790739	False	False	False
https://i1.sndcdn.com/avatars-vmU4oqCaeVvgc4tp-aLwG9g-large.jpg	Mike	16	Mike Staines	92046014	user	2020-08-18T11:18:58Z	Staines	stainesy_ray	https://soundcloud.com/stainesy_ray	https://api.soundcloud.com/users/92046014	soundcloud:users:92046014	Stainesy_Ray	False	Wiltshire	GB	soundcloud:system-playlists:artist-stations:92046014	artist-stations:92046014	False	False	False
https://i1.sndcdn.com/avatars-000014813199-zy3s9e-large.jpg	Kevin	3089	Kevin Kang	16489378	user	2016-02-12T03:43:23Z	Kang	kevin-mochang-kang	https://soundcloud.com/kevin-mochang-kang	https://api.soundcloud.com/users/16489378	soundcloud:users:16489378	mochang	False	Boston	US	soundcloud:system-playlists:artist-stations:16489378	artist-stations:16489378	False	False	False
https://i1.sndcdn.com/avatars-000455052837-2o1gsi-large.jpg	Liam	21	Liam Black	292344310	user	2018-06-08T11:48:15Z	Black	user-480636529	https://soundcloud.com/user-480636529	https://api.soundcloud.com/users/292344310	soundcloud:users:292344310	liam david black	False	Brisbane	AU	soundcloud:system-playlists:artist-stations:292344310	artist-stations:292344310	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png		2		925031176	user	2020-12-25T10:35:37Z		user-769981998	https://soundcloud.com/user-769981998	https://api.soundcloud.com/users/925031176	soundcloud:users:925031176	User 769981998	False			soundcloud:system-playlists:artist-stations:925031176	artist-stations:925031176	False	False	False
https://i1.sndcdn.com/avatars-000929866879-1lttp9-large.jpg		9		792810337	user	2020-12-09T22:42:35Z		user-546446116-907796158	https://soundcloud.com/user-546446116-907796158	https://api.soundcloud.com/users/792810337	soundcloud:users:792810337	Adriano Gomes	False			soundcloud:system-playlists:artist-stations:792810337	artist-stations:792810337	False	False	False
